tanggal,deskripsi_transaksi,kategori,nominal
2024-06-03,beli karcher car nozzle wet,Belanja,332168.0
2024-02-05,beli rexus rx 109,Belanja,80000.0
2023-05-17,token listrik,Tagihan,852000.0
2024-03-16,sewa minisoccer,Kesehatan,420000.0
2023-11-21,pesen paket ayam,Konsumsi,138000.0
2023-11-09,nyicil sayishop shell bunga anting,Belanja,12000.0
2023-05-13,cuci mobil,Transportasi,43000.0
2023-01-30,sewa lapangan basket,Kesehatan,194000.0
2022-10-24,beli paket sop rolade,Konsumsi,95000.0
2024-02-19,photobox,Hiburan,48000.0
2023-05-23,checkout tokopedia,Belanja,557000.0
2024-05-21,checkout promo termurah blender phillips,Belanja,249399.0
2023-08-12,checkout roller racing eceran,Belanja,22500.0
2019-11-22,pesen telur dadar,Konsumsi,148000.0
2024-03-04,matras yoga,Kesehatan,65000.0
2024-10-04,nyicil sorban panjang kasmiri alshafeda,Belanja,128000.0
2024-01-01,tiket lrt,Transportasi,106000.0
2023-03-05,gofood ayam saos lada,Konsumsi,74000.0
2021-07-09,jajan panas 1,Konsumsi,88000.0
2020-05-25,jajan mie nyinyir frontal,Konsumsi,68000.0
2023-02-05,beli cermin dinding besar,Belanja,700000.0
2021-02-23,grabfood paket kenyang,Konsumsi,139000.0
2024-06-14,checkout termurah !!!power bank hippo,Belanja,125000.0
2024-01-11,nyicil workplant - bio,Belanja,23375.0
2023-03-08,beli lego star wars,Belanja,225000.0
2024-02-11,order cermin / kaca spion,Belanja,158000.0
2023-12-08,tambal ban,Transportasi,180000.0
2023-09-11,matras yoga,Kesehatan,44000.0
2023-05-09,byr kos,Tempat Tinggal,388000.0
2023-08-28,parkir liar,Lain-lain,41000.0
2023-01-06,rawat inap,Kesehatan,303000.0
2024-05-02,checkout sorban batik kasmiri trompah,Belanja,55000.0
2020-01-14,seblak cuangki lidah,Konsumsi,133000.0
2024-03-01,cicilan motor,Tagihan,722000.0
2023-08-15,tagihan kartu kredit,Tagihan,534000.0
2024-01-18,sharp vacuum cleaner ec-ns18-rd,Belanja,999000.0
